NAME,neighbourhood_group,lat,long,cancellation_policy,room type,price,service fee,number of reviews,review rate number
Cute 1 bdrm in shared crown heights apt w backyard,Brooklyn,40.67512,-73.95248,moderate,Private room,574.0,115.0,1,2.0
Studio w/CV: Cleaning CDC guidelines implemented,Brooklyn,40.7269,-73.94198,strict,Entire home/apt,265.0,53.0,8,5.0
Newly Renovated Gem | 1 Block to Subway | 2BD/2BA,Brooklyn,40.64701,-73.94965,moderate,Entire home/apt,642.0,128.0,65,4.0
Gorgeous Bushwick Apartment,Brooklyn,40.70435,-73.92552,flexible,Private room,214.0,43.0,19,4.0
UNBEATABLE LOCATION! Very bright and spacious 1BR,Manhattan,40.7323,-73.98455,moderate,Entire home/apt,425.0,85.0,2,3.0
Nice and comfortable place very close to Manhattan,Queens,40.73839,-73.92499,strict,Private room,994.0,199.0,1,2.0
LOVELY APARTMENT IN BEST LOCATION !,Manhattan,40.76765,-73.95507,moderate,Entire home/apt,345.0,69.0,4,2.0
UNTITLED at Freeman-Charming Studio 615,Manhattan,40.72112,-73.99194,flexible,Entire home/apt,543.0,109.0,19,3.0
Cozy Apartment With Private Backyard,Brooklyn,40.6705,-73.87851,strict,Entire home/apt,734.0,147.0,6,3.0
Backpacker’s Studio( Spring Deal!!),Manhattan,40.78179,-73.95209,flexible,Entire home/apt,176.0,35.0,38,5.0
Williamsburg Lodge (the best home in Brooklyn),Brooklyn,40.70868,-73.95343,flexible,Private room,242.0,48.0,152,3.0
"Sunny Williamsburg Loft, minutes to Manhattan",Brooklyn,40.71453,-73.9551,strict,Entire home/apt,256.0,51.0,62,4.0
Large Beautiful BedStuy Apartment,Brooklyn,40.68178,-73.94179,flexible,Entire home/apt,941.0,188.0,1,5.0
Brownstone Getaway in Fort Greene,Brooklyn,40.68853,-73.96943,moderate,Entire home/apt,775.0,155.0,42,4.0
Sunny and Modern Beach Bungalow,Queens,40.59495,-73.75771,strict,Entire home/apt,594.0,119.0,14,5.0
"Large One Bedroom Apartment, 15 mins to Manhattan",Queens,40.74628,-73.9196,flexible,Entire home/apt,77.0,15.0,15,1.0
PERFECT WILLIAMSBURG PLACE W/ BACKYARD OASIS,Brooklyn,40.70516,-73.94423,moderate,Private room,943.0,189.0,34,4.0
Comfortable clean overnight bed by Central Park,Manhattan,40.79922,-73.94187,moderate,Shared room,830.0,166.0,22,4.0
Private room in WILLIAMSBURG LOFT,Brooklyn,40.7138,-73.96798,flexible,Private room,674.0,135.0,12,4.0
Clean & Cozy- Private Room by Park and Subway!,Brooklyn,40.65452,-73.9596,flexible,Private room,605.0,121.0,55,5.0
Bright & Quiet Studio apt. Madison Ave. Nice Locat,Manhattan,40.75036,-73.98032,flexible,Entire home/apt,281.0,56.0,1,4.0
Room for rent in spacious brooklyn appartment,Brooklyn,40.70296,-73.91755,flexible,Private room,155.0,31.0,2,4.0
Private Room in E. Williamsburg,Brooklyn,40.70839,-73.94538,flexible,Private room,980.0,196.0,126,2.0
"HUGE, SUNNY ROOM, BLOCK 4RM TRAIN!",Brooklyn,40.70719,-73.95228,flexible,Private room,982.0,196.0,1,1.0
Bedford Ave N. WBurg Room in 2BR-1,Brooklyn,40.71986,-73.95619,flexible,Private room,427.0,85.0,35,5.0
6 Minutes From JFK Airport Cozy Bedroom,Queens,40.668,-73.78477,strict,Private room,919.0,184.0,98,5.0
Sunny & Beautiful 1br apt in heart of Lower East.,Manhattan,40.71432,-73.9887,moderate,Entire home/apt,383.0,77.0,32,3.0
"Prime 2BR in GreenPoint, Quiet, Large Living Space",Brooklyn,40.7282,-73.9506,flexible,Entire home/apt,601.0,120.0,8,2.0
Private room in the lower east side,Manhattan,40.71275,-73.98682,strict,Private room,891.0,178.0,7,3.0
Cozy Sm Room Furnished!,Manhattan,40.83532,-73.94428,moderate,Private room,945.0,189.0,4,5.0
Sunny Room In Historic Central Harlem,Manhattan,40.80679,-73.94408,flexible,Private room,720.0,144.0,5,1.0
Modern large 2 bedroom steps from Central Park!,Manhattan,40.77285,-73.95566,flexible,Entire home/apt,102.0,20.0,9,5.0
Pleasant 1BR in Midtown East by Sonder,Manhattan,40.75731,-73.98326,flexible,Entire home/apt,621.0,124.0,1,5.0
Gorgeous 2 bedroom in the HEART of Williamsburg!,Brooklyn,40.71711,-73.95789,moderate,Entire home/apt,388.0,78.0,9,4.0
#ENTIRE 2 BD APT W/WASHER &DRYER - CENTRAL PARK W#,Manhattan,40.795322,-73.962921,moderate,Entire home/apt,630.0,126.0,2,3.0
Bright Room in Historic Brownstone,Brooklyn,40.64942,-74.00749,strict,Private room,181.0,36.0,39,3.0
FULL BED/Spa Amenities for Sophisticated Travelers,Brooklyn,40.62187,-73.93079,strict,Private room,336.0,67.0,58,4.0
Luminous Modern Apt Share for Young Professionals,Brooklyn,40.68586,-73.9501,moderate,Private room,697.0,139.0,41,3.0
Iconic Apartment in Times Square Steps to Broadway,Manhattan,40.76131,-73.99362,strict,Entire home/apt,883.0,177.0,85,2.0
Brand New One Bedroom Apartment in Bushwick,Brooklyn,40.6884,-73.91373,moderate,Entire home/apt,323.0,65.0,2,5.0
A cozy room in a newly renovated UWS  apartment,Manhattan,40.79728,-73.97348,strict,Private room,561.0,112.0,28,5.0
NYC Excitement Meets Quiet and Comfort!,Manhattan,40.82101,-73.95436,strict,Private room,882.0,176.0,66,4.0
Spring st SoHo Apartment,Manhattan,40.72212,-73.99638,moderate,Entire home/apt,201.0,40.0,18,4.0
Beauty of New York!,Manhattan,40.76301,-73.95719,moderate,Entire home/apt,296.0,59.0,26,4.0
Lux Studio Suite+ Kitchen+Gym+Rooftop @FiDi!,Manhattan,40.70659,-74.01002,moderate,Entire home/apt,446.0,89.0,8,4.0
"Scandinavean design in Crown Heights, BK",Brooklyn,40.66477,-73.9506,strict,Entire home/apt,325.0,65.0,9,4.0
Stay in the ❤️of Manhattan!,Manhattan,40.75979,-73.96463,strict,Private room,487.0,97.0,20,3.0
Modern furnished 2-Bedroom NYC Apartment!,Manhattan,40.76025,-73.99811,strict,Entire home/apt,647.0,129.0,3,1.0
Come stay in super comfy and cozy!,Manhattan,40.74129,-73.98374,strict,Entire home/apt,118.0,24.0,26,1.0
"Huge, private Room in safe, quite Brooklyn Area",Brooklyn,40.67258,-73.92974,moderate,Private room,316.0,63.0,1,4.0
"Spacious room in a nice building,close to Columbia",Manhattan,40.80255523,-73.96515845,strict,Private room,366.0,73.0,1,3.0
Williamsburg: great room with a sunny terrace!,Brooklyn,40.70819,-73.94813,strict,Private room,699.0,140.0,12,1.0
"Modern, Roomy 2BD/2BA in the heart of SOHO/LES",Manhattan,40.72255,-73.99265,strict,Entire home/apt,999.0,200.0,4,2.0
Manhattan Luxury & Cozy Studio,Manhattan,40.70407,-74.00885,moderate,Entire home/apt,849.0,170.0,13,3.0
2 Bedroom 1 Bath by NYC Train and Major Highways,Bronx,40.88485,-73.89756,strict,Entire home/apt,334.0,67.0,25,5.0
"Cozy & convenient studio, midtown west Manhattan!!",Manhattan,40.77497,-73.98788,flexible,Entire home/apt,321.0,64.0,8,5.0
2BR Penthouse Aprtmt on Park Avenue,Manhattan,40.74773,-73.98079,strict,Entire home/apt,163.0,33.0,1,5.0
Cozy private room by the 7 train,Queens,40.73935,-73.92096,moderate,Private room,285.0,57.0,4,2.0
Bright and lovely studio on the quiet block,Brooklyn,40.57578,-74.01175,flexible,Private room,960.0,192.0,10,2.0
Sunny Spacious King Size Bed,Brooklyn,40.69449,-73.92629,strict,Entire home/apt,87.0,17.0,4,1.0
Cozy Wood Room in Bay Ridge,Brooklyn,40.62747,-74.02212,flexible,Private room,572.0,114.0,68,5.0
Gorgeous Sun Filled Creative Loft! Clean & Unique!,Brooklyn,40.70176,-73.92684,flexible,Entire home/apt,52.0,10.0,7,3.0
Luxury Three Bedroom Loft - Brooklyn,Brooklyn,40.6856,-73.93063,moderate,Entire home/apt,223.0,45.0,25,3.0
Cozy Private Monthly Studio Suite,Manhattan,40.80549,-73.94725,flexible,Private room,612.0,122.0,8,2.0
Nice and Cozy 2 bedrooms apartment near Manhattan,Queens,40.75464,-73.94107,moderate,Entire home/apt,355.0,71.0,7,3.0
"ARTIST APARTMENT, PERFECT LOCATION",Manhattan,40.76027,-73.98831,flexible,Entire home/apt,745.0,149.0,55,3.0
Great location private bedroom in Queens,Queens,40.76668,-73.92259,flexible,Private room,733.0,147.0,9,2.0
Renovated Luxury 1 Bedroom on the Upper East Side,Manhattan,40.76448,-73.96272,strict,Entire home/apt,233.0,47.0,2,4.0
Lovely  Room!,Queens,40.76143,-73.92122,strict,Private room,574.0,115.0,24,4.0
Cozy super affordable room,Brooklyn,40.67813,-73.92904,strict,Private room,580.0,116.0,1,5.0
Beautiful Brooklyn 1 bedroom apartment,Brooklyn,40.68969,-73.95195,strict,Entire home/apt,818.0,164.0,21,2.0
"Queen Bedroom besides Central Park, West Side",Manhattan,40.80076,-73.96236,strict,Private room,408.0,82.0,38,2.0
Entire 1 Bedroom Apt Available In Ditmas Park,Brooklyn,40.62586,-73.98079,strict,Entire home/apt,486.0,97.0,33,2.0
Cozy Private Furnished Studio Near Manhattan,Queens,40.74418,-73.91136,flexible,Private room,809.0,162.0,16,3.0
Spacious and airy room in prime South Williamsburg,Brooklyn,40.70928,-73.9659,strict,Private room,74.0,15.0,4,1.0
Convenient Location! Small apt on the 1Floor,Manhattan,40.74415,-73.99752,moderate,Entire home/apt,479.0,96.0,7,5.0
Sunny and Spacious Private Bedroom,Manhattan,40.71971,-73.98494,strict,Private room,847.0,169.0,59,2.0
"Amazing Area - Free Laundry, Cleaning & WiFi!",Manhattan,40.77348,-73.94601,moderate,Private room,178.0,36.0,1,2.0
Comfortable sweet room near to JFK airport - 8min,Queens,40.65901,-73.7356,moderate,Private room,297.0,59.0,42,5.0
Spacious Two Bedroom-Prime Manhattan Midtown Loc,Manhattan,40.75124,-73.98451,flexible,Entire home/apt,73.0,15.0,2,4.0
Clinton Hill Heavenly Haven - shared,Brooklyn,40.69288,-73.96101,moderate,Private room,96.0,19.0,6,2.0
room in east village with amazing private terrace,Manhattan,40.72393,-73.97696,strict,Private room,961.0,192.0,9,5.0
Big studio apt in the heart of Williamsburg,Brooklyn,40.71681,-73.94912,moderate,Entire home/apt,805.0,161.0,5,2.0
"Private room, home away from home",Manhattan,40.79943,-73.968,strict,Private room,145.0,29.0,2,5.0
Mod Home Steps from Prospect Park,Brooklyn,40.64841,-73.96969,strict,Entire home/apt,569.0,114.0,125,1.0
Amazing Location! Private room in shared apartment,Manhattan,40.71163,-73.99566,moderate,Private room,879.0,176.0,68,4.0
Stunning 1br in Historic Brownstone,Manhattan,40.7851,-73.97397,flexible,Entire home/apt,673.0,135.0,45,1.0
A top floor in Midtown,Manhattan,40.75369,-73.96632,strict,Entire home/apt,98.0,20.0,81,5.0
Sun filled private room in Hamilton Heights,Manhattan,40.82923,-73.9494,flexible,Private room,202.0,40.0,2,5.0
Large 1 bedroom apartment Gramercy/East Village.,Manhattan,40.73461,-73.98392,strict,Entire home/apt,554.0,111.0,6,3.0
Modern 2 Bedroom in Heart of Williamsburg,Brooklyn,40.71201,-73.96144,moderate,Entire home/apt,812.0,162.0,6,1.0
Express to NYC - beautiful 1 bedroom apartment,Brooklyn,40.62402,-73.91681,moderate,Entire home/apt,473.0,95.0,31,2.0
Charming + Spacious Brownstone Apt,Brooklyn,40.68356,-73.96152,moderate,Entire home/apt,175.0,35.0,3,5.0
Balcony Room next to  Rockaway famous NYC   Beach,Queens,40.58568,-73.81859,moderate,Private room,237.0,47.0,6,5.0
Cozy room in Manhattan near Columbia/Midtown,Manhattan,40.84293,-73.94132,moderate,Private room,449.0,90.0,43,3.0
Bright Studio in New WB Building,Brooklyn,40.71808,-73.95511,strict,Entire home/apt,339.0,68.0,12,3.0
Lovely Bedroom Suite w/ Private Entry,Brooklyn,40.68303,-73.92449,flexible,Entire home/apt,240.0,48.0,250,5.0
Luxury & Cozy Penthouse in Manhattan,Manhattan,40.76142,-73.99431,flexible,Entire home/apt,353.0,71.0,1,2.0
Beautiful 2B/2B at Central Park and the AMNH,Manhattan,40.77743,-73.97616,moderate,Entire home/apt,393.0,79.0,4,2.0
Bask in the light! Studio bedroom in Williamsburg,Brooklyn,40.71081,-73.96121,strict,Private room,434.0,87.0,15,2.0
NYC's newest boutique Hotel.,Manhattan,40.74982,-73.98278,strict,Private room,719.0,144.0,11,2.0
"Cozy one bdrm apt, Lower East Side",Manhattan,40.71966,-73.98166,moderate,Entire home/apt,288.0,58.0,1,1.0
"EAST VILLAGE STUDIO, sunny & quiet",Manhattan,40.72485,-73.97813,strict,Entire home/apt,589.0,118.0,22,5.0
Premium Space King Bed and Views,Manhattan,40.74073,-73.97663,moderate,Entire home/apt,643.0,129.0,3,4.0
"Spacious, Sunny Room in Park Slope",Brooklyn,40.67549,-73.98057,moderate,Private room,338.0,68.0,1,5.0
3BDR architect's garden home,Brooklyn,40.67365,-73.9814,strict,Entire home/apt,526.0,105.0,5,2.0
Private Bedroom close to Subway and Central Park,Manhattan,40.80364,-73.96541,strict,Private room,605.0,121.0,1,4.0
Caribbean Home,Brooklyn,40.66631,-73.86278,flexible,Private room,292.0,58.0,17,4.0
2 bed 2 bath in cool east Williamsburg Loft!,Brooklyn,40.70509,-73.93471,flexible,Entire home/apt,978.0,196.0,6,4.0
Modern East Village Oasis,Manhattan,40.72467,-73.98878,moderate,Entire home/apt,867.0,173.0,3,4.0
"CHEAP ROOM IN QUEENS, CLOSE TO SUBWAY STATION",Queens,40.69642,-73.8502,strict,Private room,195.0,39.0,5,5.0
Charming Union Sq Studio w/Elevator,Manhattan,40.73318,-73.98449,flexible,Entire home/apt,662.0,132.0,206,1.0
LA COURONNE - Sophisticated Spacious 3 BDRM 2 BTHS,Brooklyn,40.66505,-73.93875,flexible,Entire home/apt,330.0,66.0,78,4.0
Enjoy and discover New York Citi,Staten Island,40.63358,-74.0833,strict,Private room,247.0,49.0,23,2.0
Stuyvesant Heights Loft like Apartment.,Brooklyn,40.68206,-73.94417,flexible,Entire home/apt,735.0,147.0,25,4.0
Amazing refuge near Prospect Park,Brooklyn,40.67617,-73.96636,flexible,Entire home/apt,104.0,21.0,2,3.0
Bedroom on UES,Manhattan,40.77353,-73.95357,moderate,Private room,476.0,95.0,10,3.0
Amazing Art Deco studio with backyard in Manhattan,Manhattan,40.78899,-73.94727,moderate,Entire home/apt,762.0,152.0,6,3.0
room in cozy exposed brick apt with HUGE BALCONY,Brooklyn,40.70903,-73.94416,strict,Private room,916.0,183.0,14,4.0
Beatuful Harlem Urban Penthouse,Manhattan,40.79824,-73.94014,moderate,Entire home/apt,113.0,23.0,53,2.0
Mid-Century Modern Garden Paradise,Brooklyn,40.6825,-73.90818,moderate,Entire home/apt,203.0,41.0,234,5.0
Cute ethnic cosy private studio!,Brooklyn,40.68147,-73.96488,flexible,Entire home/apt,116.0,23.0,88,1.0
74st Jackson Heights Great Transportation Hub,Queens,40.74323,-73.89652,flexible,Private room,694.0,139.0,2,5.0
Fully furniture huge room in great apt,Bronx,40.9008,-73.90639,strict,Private room,945.0,189.0,2,3.0
Stylish Apartment in post-war walk-up Building,Manhattan,40.71959,-73.9919,strict,Entire home/apt,171.0,34.0,14,1.0
comfy  apto :),Brooklyn,40.69869,-73.9124,flexible,Entire home/apt,820.0,164.0,3,5.0
Elmhurst Front Bedroom,Queens,40.76251,-73.86722,flexible,Private room,545.0,109.0,3,2.0
Alphabet City Room,Manhattan,40.72827,-73.98041,moderate,Private room,507.0,101.0,2,4.0
Huge 2 Bed Loft Apt in Chic Downtown,Manhattan,40.7259,-73.99336,moderate,Entire home/apt,374.0,75.0,12,4.0
Room In Gorgeous Gut Renovated NY Apartment,Manhattan,40.74825,-73.97673,strict,Private room,166.0,33.0,3,5.0
BEST LOCATION - AMAZING 1 Bedroom Apartment 2 beds,Manhattan,40.73508,-73.98477,moderate,Entire home/apt,348.0,70.0,21,3.0
Greenwich Village in the Sky,Manhattan,40.7284,-73.99812,flexible,Entire home/apt,251.0,50.0,48,1.0
Central Park Apt - furnished single bed studio 16,Manhattan,40.79721,-73.96368,moderate,Entire home/apt,336.0,67.0,3,4.0
Quiet Sanctuary right by the Subway,Brooklyn,40.68443,-73.96737,flexible,Private room,476.0,95.0,12,4.0
Hendrix Upstairs Oasis Rm #4,Brooklyn,40.66547,-73.8891,strict,Private room,271.0,54.0,9,5.0
Private bedroom apartment 4B/2,Manhattan,40.7942,-73.94136,flexible,Private room,252.0,50.0,2,4.0
Room in a great location close to Central Park,Manhattan,40.80299,-73.9638,flexible,Private room,652.0,130.0,22,5.0
Spacious 3br Williamsburg Apt One Block From Water,Brooklyn,40.7196,-73.95956,flexible,Entire home/apt,649.0,130.0,4,3.0
"Large, Immaculate Brooklyn 2 BR apt, sleeps 4-5",Brooklyn,40.684,-73.95002,flexible,Entire home/apt,227.0,45.0,17,2.0
Bedroom near Central Park 5,Manhattan,40.79636,-73.96251,strict,Private room,404.0,81.0,1,3.0
"Entire Private 1 Bdrm, 1 Bath & 1000 SQFT Backyard",Brooklyn,40.65985,-73.94985,strict,Entire home/apt,86.0,17.0,10,3.0
Enjoy the Times Square experience with the family!,Manhattan,40.75976,-73.98761,flexible,Private room,940.0,188.0,22,3.0
Quiet Neighborhood Close to Trendy Spots,Brooklyn,40.71326,-73.93766,moderate,Private room,84.0,17.0,5,4.0
Vintage Room &prvt bathroom Central Park Manhattan,Manhattan,40.80475,-73.95081,moderate,Private room,583.0,117.0,43,3.0
Bed-Stuy Gem with Cozy entire floor of Brownstone,Brooklyn,40.68425,-73.92214,strict,Entire home/apt,859.0,172.0,2,3.0
"5 Bedrooms 2bath, Hudson Yards 1B",Manhattan,40.7564,-73.99832,flexible,Entire home/apt,981.0,196.0,13,4.0
Spacious Studio in Financial District,Manhattan,40.70791,-74.00529,moderate,Entire home/apt,171.0,34.0,2,2.0
1BR Apartment close to Prospect Park,Brooklyn,40.66036,-73.98494,moderate,Entire home/apt,551.0,110.0,10,2.0
Sunny Spacious Crown Heights Studio,Brooklyn,40.67807,-73.95913,flexible,Entire home/apt,323.0,65.0,1,2.0
NYC Studio outside Columbus Circle,Manhattan,40.77205,-73.98924,flexible,Entire home/apt,903.0,181.0,2,3.0
"Charming, Sunny West Village 1BR - Prime Location!",Manhattan,40.73641,-73.99929,strict,Entire home/apt,177.0,35.0,3,3.0
LIC Cottage | 5 min to NYC,Queens,40.75255,-73.93463,strict,Entire home/apt,801.0,160.0,3,5.0
Spacious Sunny Office & Suite on a Private Floor,Bronx,40.80233,-73.91473,moderate,Entire home/apt,840.0,168.0,36,2.0
Bedroom in SoHo/Nolita,Manhattan,40.72127,-73.99526,moderate,Private room,912.0,182.0,2,2.0
Private Room in Riverdale NY,Bronx,40.89603,-73.89958,flexible,Private room,206.0,41.0,35,4.0
"San Carlos Hotel Deluxe Rm - 2 Queen Bds, up to 4",Manhattan,40.75674,-73.97201,strict,Private room,650.0,130.0,1,5.0
Cozy Clean Guest Room - Family Apt,Manhattan,40.80178,-73.96723,strict,Private room,291.0,58.0,118,5.0
"Cozy, QUIET Dream Home in SEAPORT",Manhattan,40.70939,-74.00121,flexible,Entire home/apt,353.0,71.0,285,3.0
Apartment in Heart of Greenpoint,Brooklyn,40.72607,-73.95103,strict,Private room,477.0,95.0,26,4.0
"Entire Floor, Private Bathroom -Direct ride to JFK",Brooklyn,40.6864,-73.9133,strict,Private room,219.0,44.0,30,3.0
Gigantic Private Brooklyn Loft!,Brooklyn,40.72898,-73.95552,moderate,Entire home/apt,784.0,157.0,50,4.0
Individual Cubicle Room in NYC/not shared/just you,Manhattan,40.74864,-73.99564,strict,Private room,822.0,164.0,247,2.0
Home away from Home: Serenity,Queens,40.76213,-73.87301,strict,Private room,501.0,100.0,12,4.0
Spacious Room,Brooklyn,40.66972,-73.88393,strict,Private room,484.0,97.0,1,3.0
Upper West Manhattan Suite - Cozy Private Bedroom,Manhattan,40.82179,-73.95283,moderate,Private room,372.0,74.0,11,5.0
Kick Back and Relax in this Oasis,Brooklyn,40.69363,-73.94805,strict,Private room,131.0,26.0,33,3.0
Midtown Steal by Rockefeller Center,Manhattan,40.75455,-73.9695,moderate,Private room,720.0,144.0,8,4.0
Central Park-Time Square-All Major Subways,Manhattan,40.76601,-73.98414,flexible,Entire home/apt,516.0,103.0,5,2.0
Bayside Room  w/ 1 Bed,Queens,40.74924,-73.75654,strict,Private room,289.0,58.0,29,5.0
Large 1BR Columbia University,Manhattan,40.81368,-73.95942,flexible,Entire home/apt,579.0,116.0,5,5.0
Stylish Private BR  in the Upper East Side,Manhattan,40.77349,-73.94994,strict,Private room,487.0,97.0,117,3.0
"Spacious, Bohemian NorCal 1-BR Apt. in Brooklyn",Brooklyn,40.66143,-73.99065,strict,Entire home/apt,690.0,138.0,1,3.0
SHARE;CHEAPEST;Pure;Cozy;Safe;Silent IN NEW YORK,Queens,40.73272,-73.91826,moderate,Shared room,829.0,166.0,36,4.0
Cosy room in the heart of Bushwick,Brooklyn,40.70165,-73.92262,flexible,Private room,868.0,174.0,1,5.0
2 Bedroom midcentury Brooklyn Brownstone apartment,Brooklyn,40.6776,-73.94918,flexible,Entire home/apt,372.0,74.0,15,4.0
Sunny Private Clean Room Downtown - steps2subway,Manhattan,40.71685,-73.99074,flexible,Private room,372.0,74.0,43,4.0
1 Bedroom+1 bath in Artsy modern Williamsburg NY,Brooklyn,40.71894,-73.96187,moderate,Private room,600.0,120.0,4,3.0
Modern prime location in Williamsburg,Brooklyn,40.71198,-73.96114,moderate,Private room,873.0,175.0,12,2.0
Luxury High Rise with Private Balcony,Manhattan,40.74371,-73.99622,flexible,Entire home/apt,146.0,29.0,2,5.0
Cosy and friendly private space,Queens,40.74592,-73.90889,moderate,Private room,929.0,186.0,4,3.0
"1 bedroom apt, comforts of home, close to all..",Staten Island,40.57093,-74.12429,strict,Entire home/apt,212.0,42.0,79,2.0
Shared room in East Williamsburg near the park,Brooklyn,40.72157,-73.94002,strict,Shared room,273.0,55.0,1,5.0
"Modern room with TV, private bathroom and balcony",Brooklyn,40.66322,-73.8795,moderate,Private room,724.0,145.0,4,4.0
"*Huge, Clean & Spacious Stay in NYC*",Manhattan,40.83625,-73.93753,moderate,Private room,536.0,107.0,2,1.0
Surfside Studio,Queens,40.58634,-73.81867,strict,Entire home/apt,226.0,45.0,144,1.0
"Sun Drenched, Extra Large 1 Bdrm Clinton Hill Apt",Brooklyn,40.68459,-73.95732,moderate,Entire home/apt,660.0,132.0,52,4.0
Entire 1BR APT in historic Clinton Hill Brownstone,Brooklyn,40.68246,-73.9643,moderate,Entire home/apt,875.0,175.0,2,5.0
Brand new 1 bedroom steps from Soho!,Manhattan,40.71825,-73.99019,moderate,Entire home/apt,971.0,194.0,1,5.0
Bedroom in UWS,Manhattan,40.80518,-73.95099,flexible,Private room,579.0,116.0,1,3.0
"Two Bedroom Apartment with Four Beds, and Bathroom",Manhattan,40.75625,-73.9948,flexible,Entire home/apt,74.0,15.0,50,4.0
Private & Cozy Room. 20 minutes from Times Square,Manhattan,40.82232,-73.93647,flexible,Private room,493.0,99.0,92,2.0
NEW Modern Brooklyn 1BR Apt!,Brooklyn,40.68678,-73.9513,strict,Entire home/apt,716.0,143.0,6,5.0
Extra-Lux Executive Penthouse With Private Rooftop,Manhattan,40.71906,-73.98259,flexible,Entire home/apt,887.0,177.0,40,3.0
A Zen Oasis in the East Village,Manhattan,40.72509,-73.98954,strict,Private room,551.0,110.0,3,4.0
Convenient location with washer/dryer,Bronx,40.86217,-73.90448,moderate,Private room,308.0,62.0,3,2.0
1BR Condo with Workspace and  Verizon FiOS! #10253,Brooklyn,40.67695,-73.9793,moderate,Entire home/apt,292.0,58.0,62,4.0
Lovely Two Beds ROOM,Manhattan,40.75695,-73.99566,moderate,Private room,965.0,193.0,2,3.0
COZY LOFT APT IN TRIBECA,Manhattan,40.71863,-74.0041,moderate,Entire home/apt,500.0,100.0,1,2.0
"Spacious, bright studio near Prospect Park",Brooklyn,40.6456,-73.95982,flexible,Entire home/apt,104.0,21.0,5,3.0
East Village 1 Bdrm Price Negotiable Exposed Brick,Manhattan,40.72856,-73.98125,flexible,Entire home/apt,353.0,71.0,1,1.0
RARE FIND! Large One Bedroom PRIME Hell’s Kitchen,Manhattan,40.76432,-73.99453,flexible,Entire home/apt,717.0,143.0,7,5.0
Private studio apartment,Brooklyn,40.69549,-73.92249,flexible,Entire home/apt,652.0,130.0,97,5.0
Stylish Gramercy Park Duplex LOFT,Manhattan,40.7364,-73.98436,flexible,Entire home/apt,556.0,111.0,51,2.0
1 bedroom Prospect-Lefferts Gardens,Brooklyn,40.65845,-73.96131,strict,Entire home/apt,347.0,69.0,3,4.0
UNTITLED at Freeman-Charming Studio 712,Manhattan,40.72286,-73.99269,strict,Entire home/apt,154.0,31.0,7,2.0
Private bedroom with Attached bathroom,Manhattan,40.76174,-73.96066,flexible,Private room,715.0,143.0,1,3.0
Duplex   Roof top  in the heart of crown hight,Brooklyn,40.67398,-73.92787,moderate,Entire home/apt,998.0,200.0,65,4.0
3 BEDS IN LOVELY 2BEDROOM/2BATH MIDTOWN RENTAL,Manhattan,40.75879,-73.96413,moderate,Entire home/apt,907.0,181.0,87,4.0
Kasa da Kura Queen Suite (Cat Lovers Only),Brooklyn,40.68937,-73.93714,moderate,Private room,240.0,48.0,8,3.0
💰法拉盛中心Private Studio,Queens,40.76429,-73.82869,flexible,Entire home/apt,295.0,59.0,3,5.0
UNTITLED at Freeman-Charming Studio 718,Manhattan,40.72273,-73.99188,strict,Entire home/apt,434.0,87.0,16,5.0
Manhattan Beautiful Nest,Manhattan,40.74174,-73.97805,strict,Entire home/apt,602.0,120.0,24,5.0
"Sunny, Large (Queen Bed) Private room in 2Bedroom",Manhattan,40.79377,-73.9361,flexible,Private room,365.0,73.0,30,5.0
Shoreham Hotel - Touchless Gorgeous Studio near Central Park,Manhattan,40.76315,-73.97703,strict,Entire home/apt,567.0,113.0,8,2.0
Fabulous 3BR/3BA NoMad Midtown LOFT,Manhattan,40.74615,-73.98872,moderate,Entire home/apt,946.0,189.0,13,5.0
"3bd apt w/yard in Astoria, 10 mins from Manhattan.",Queens,40.75903,-73.92943,flexible,Entire home/apt,307.0,61.0,111,1.0
Simple Private Rm w/ Futon in the Bronx/ Storage,Bronx,40.85801,-73.88247,moderate,Private room,770.0,154.0,9,5.0
UNTITLED at Freeman - Alley King Studio 1020,Manhattan,40.72091,-73.99323,flexible,Entire home/apt,182.0,36.0,11,4.0
"Todo esta cercano , trasportación y comida",Manhattan,40.80117,-73.94036,flexible,Private room,816.0,163.0,21,4.0
Luxury Renovated 2 BR with W/D By Central Park,Manhattan,40.79446,-73.96612,flexible,Entire home/apt,107.0,21.0,1,3.0
Nice room in LES,Manhattan,40.71686,-73.98458,flexible,Private room,875.0,175.0,1,4.0
Beautiful/Spacious 1 Bedroom in LES,Manhattan,40.7189,-73.99177,strict,Entire home/apt,542.0,108.0,182,5.0
"FAMILY FRIENDLY RETREAT ,IMMACULATELY CLEAN",Queens,40.69277,-73.76288,strict,Entire home/apt,103.0,21.0,16,5.0
"NEW LISTING!Cozy, beautiful 3BR Apt. in Queens NY",Brooklyn,40.69012,-73.86788,flexible,Entire home/apt,406.0,81.0,1,5.0
Large 1BR/BA w breathtaking views of NYC in Harlem,Manhattan,40.80883,-73.95196,strict,Entire home/apt,497.0,99.0,2,5.0
"Cozy, walk to Central Park, Columbia & Morningside",Manhattan,40.8031,-73.95654,strict,Private room,206.0,41.0,8,5.0
Stay in our wonderful loft!,Brooklyn,40.67928,-73.98254,moderate,Private room,380.0,76.0,238,2.0
